PSN,PresBlue,PresRed,SenBlue,SenRed,CongD2011,CongD2021,SenD2011,SenD2021,HouseD2011,HouseD2021,OBJECTID,PName,PCode,County,Pop2010,Pct_Area,Pct_Perim,CountyName,Reg_Voters,PresOther,SenOther,Shape_Length,Shape_Area,Pop2020
36,434,842,462,830,2,2,24,24,81,81,288,COLLEGE ACRES,013,003,2420,6.788976712,11.27059946,AIKEN,1968,27,15,36976.95838,73075937.15,2379
37,367,623,381,592,2,2,24,24,86,86,335,COUCHTON,056,003,2126,47.09350315,31.47760552,AIKEN,1488,11,31,103272.7774,506910249.1,1878
38,330,802,339,786,2,2,25,25,82,82,321,EUREKA,014,003,2418,101.0366403,48.98776165,AIKEN,1733,14,18,160720.6814,1087549346,2614
39,310,836,322,832,2,2,24,24,83,83,302,FOX CREEK NO. 58,058,003,1931,1.916893035,6.213280003,AIKEN,1849,18,12,20384.73614,20633264.91,2036
40,267,822,263,833,2,2,24,24,83,83,301,FOX CREEK NO. 73,073,003,1641,3.086019727,7.887067077,AIKEN,1607,23,11,25876.15257,33217639.89,1878
41,291,748,288,747,2,2,24,24,81,81,352,GEM LAKES NO. 60,060,003,1463,3.682291993,8.786263868,AIKEN,1396,12,21,28826.26737,39635861.14,1461
42,407,810,400,825,2,2,24,24,81,81,350,GEM LAKES NO. 77,077,003,1658,5.05125156,12.60357017,AIKEN,1651,16,10,41350.21313,54371219.28,1882
43,165,520,179,502,2,2,24,24,84,84,327,GLOVERVILLE,015,003,1908,7.015954845,14.23275204,AIKEN,1041,12,16,46695.28731,75519109.44,1678
44,263,460,274,450,2,2,25,25,81,82,324,GRANITEVILLE,016,003,2074,9.158016002,18.50540461,AIKEN,1231,10,10,60713.14831,98576063.84,1930
45,372,573,379,572,2,2,24,24,84,84,359,HAMMOND NO. 48,048,003,1164,18.57522412,22.18503748,AIKEN,1369,14,12,72785.41048,199942048.4,1613
46,252,489,260,479,2,2,24,24,84,84,358,HAMMOND NO. 81,081,003,1855,65.7294545,59.58843211,AIKEN,1185,9,16,195499.7144,707505960,1804
47,315,499,312,502,2,2,24,24,81,84,329,HITCHCOCK NO. 66,066,003,1525,6.399929574,11.46802428,AIKEN,1273,12,11,37624.67633,68888268.61,1463
48,345,758,334,784,2,2,24,24,81,81,344,HOLLOW CREEK,053,003,1368,3.127749198,9.976981069,AIKEN,1564,11,8,32732.81206,33666812.17,1529
49,250,876,257,859,2,2,24,24,84,84,307,JACKSON,017,003,2463,99.84011838,61.55552707,AIKEN,1743,6,20,201953.4251,1074670090,2182
50,190,600,203,577,2,2,25,25,84,84,326,LANGLEY,018,003,2672,10.81069314,15.65937474,AIKEN,1462,8,19,51375.79864,116365332.6,2324
51,431,484,443,477,2,2,24,24,81,81,332,LEVELS NO. 52,052,003,1519,2.317207581,8.434229148,AIKEN,1563,22,16,27671.30013,24942214.82,1521
52,310,396,315,392,2,2,24,24,81,81,333,LEVELS NO. 72,072,003,1240,3.430778922,10.35143975,AIKEN,1139,13,12,33961.34859,36928596.97,1425
53,241,250,246,263,2,2,24,24,81,81,357,LEVELS NO. 83,083,003,1419,1.054991495,5.17860464,AIKEN,864,23,8,16990.13872,11355833.94,1492
54,128,463,137,447,2,2,25,25,84,84,306,LYNWOOD,019,003,1634,7.776216452,13.11885334,AIKEN,973,11,15,43040.77134,83702497.27,1463
55,616,1150,629,1138,2,2,25,25,84,84,325,MIDLAND VALLEY NO. 51,051,003,1464,17.62980291,19.42512872,AIKEN,2508,24,26,63730.60981,189765619.1,3282
