PSN,PresBlue,PresRed,SenBlue,SenRed,CongD2011,CongD2021,SenD2011,SenD2021,HouseD2011,HouseD2021,OBJECTID,PName,PCode,County,Pop2010,Pct_Area,Pct_Perim,CountyName,Reg_Voters,PresOther,SenOther,Shape_Length,Shape_Area,Pop2020
496,594,604,595,629,1,1,34,34,112,112,539,MT. PLEASANT 20,320,019,1222,2.306515789,6.077475511,CHARLESTON,1627,28,16,19939.18424,24827129.33,1715
497,624,714,591,755,1,1,34,43,112,112,541,MT. PLEASANT 21,321,019,904,10.84372178,16.2401469,CHARLESTON,1829,16,13,53281.2153,116720849.8,2194
498,726,757,720,770,1,1,34,43,112,112,540,MT. PLEASANT 22,322,019,1704,20.99702659,21.52291878,CHARLESTON,1947,22,22,70613.10936,226010113.2,2266
499,824,692,817,697,1,1,34,34,112,112,411,MT. PLEASANT 23,323,019,2018,4.117530031,8.914831024,CHARLESTON,2133,30,31,29248.07479,44320724.4,2724
500,317,340,316,348,1,1,43,34,112,112,542,MT. PLEASANT 24,324,019,1789,0.697665212,3.684194554,CHARLESTON,918,16,11,12087.2283,7509605.84,1040
501,376,542,360,562,1,1,43,34,112,110,538,MT. PLEASANT 25,325,019,1191,1.854339131,6.602801926,CHARLESTON,1140,10,9,21662.69265,19959940.29,1402
502,463,21,470,21,1,1,37,34,99,110,543,MT. PLEASANT 26,326,019,986,2.679931311,7.208730311,CHARLESTON,630,4,0,23650.64269,28846540.55,734
503,1048,1362,996,1428,1,1,37,34,110,110,544,MT. PLEASANT 27,327,019,742,7.952929413,11.84058384,CHARLESTON,3148,41,26,38846.98216,85604619.76,4062
504,449,556,440,589,1,1,37,34,99,112,410,MT. PLEASANT 28,328,019,1612,6.434361793,13.23384987,CHARLESTON,1320,21,6,43418.05577,69258893.92,1560
505,120,169,112,177,1,1,43,34,99,112,545,MT. PLEASANT 29,329,019,3061,4.328612036,9.568009829,CHARLESTON,354,2,2,31391.04558,46592792.19,385
506,750,595,745,624,1,1,43,34,109,110,470,MT. PLEASANT 3,303,019,1625,4.475114567,10.26835672,CHARLESTON,1830,27,7,33688.76699,48169732.3,1914
507,746,984,716,1038,1,1,37,34,112,96,546,MT. PLEASANT 30,330,019,412,2.607489259,7.064664533,CHARLESTON,2251,30,9,23177.98689,28066780.79,2607
508,628,645,618,656,1,1,37,34,99,96,548,MT. PLEASANT 31,331,019,1885,7.475741777,15.81970731,CHARLESTON,1650,14,11,51901.82307,80468214.79,2093
509,837,1520,809,1558,1,1,37,34,99,96,549,MT. PLEASANT 32,332,019,1824,6.030538759,11.71346942,CHARLESTON,3114,38,29,38429.94093,64912178.97,3609
510,1381,2342,1340,2432,1,1,37,34,99,96,412,MT. PLEASANT 33,333,019,3885,11.66369297,16.85402563,CHARLESTON,4910,58,20,55295.24907,125546946.3,5428
511,629,841,619,866,1,1,37,34,112,96,547,MT. PLEASANT 34,334,019,2598,1.895043798,8.625343171,CHARLESTON,1992,14,12,28298.31339,20398081.68,2358
512,1703,2587,1676,2631,1,1,37,34,112,96,554,MT. PLEASANT 35,335,019,1046,12.91884608,20.41763483,CHARLESTON,5878,66,52,66986.85693,139057301.8,7539
513,696,645,708,647,1,1,34,34,112,112,550,MT. PLEASANT 36,336,019,3042,3.38715163,10.0970365,CHARLESTON,2011,37,26,33126.69392,36458996.72,2481
514,1524,1399,1508,1437,1,1,43,43,108,96,551,MT. PLEASANT 37,337,019,1480,96.05476031,58.45402771,CHARLESTON,3967,39,23,191777.9226,1033924835,4732
515,610,919,597,946,1,1,34,43,108,96,552,MT. PLEASANT 38,338,019,3445,3.75260675,8.65956123,CHARLESTON,2094,13,8,28410.57713,40392722.89,2331
516,1269,2122,1268,2148,1,1,37,34,108,96,553,MT. PLEASANT 39,339,019,1818,15.073173,18.80100085,CHARLESTON,4163,48,32,61682.95028,162246283.9,5875
517,634,626,617,657,1,1,43,34,110,110,556,MT. PLEASANT 4,304,019,1542,1.627342357,9.28730107,CHARLESTON,1818,20,9,30470.08693,17516567.34,2032
518,466,625,453,654,1,1,43,34,110,112,555,MT. PLEASANT 5,305,019,5450,1.400988973,5.422930561,CHARLESTON,1423,21,9,17791.73135,15080119.8,1644
519,747,837,750,859,1,1,43,34,110,112,474,MT. PLEASANT 6,306,019,2541,2.509521229,9.498254177,CHARLESTON,2244,38,16,31162.18891,27012261.7,2648
520,389,434,385,443,1,1,43,34,112,112,472,MT. PLEASANT 7,307,019,918,0.841409353,4.113570048,CHARLESTON,1182,17,10,13495.93773,9056854.897,1353
521,371,372,354,400,1,1,43,34,112,112,473,MT. PLEASANT 8,308,019,1054,0.752728774,3.862622859,CHARLESTON,968,14,8,12672.62183,8102305.089,1193
522,412,480,401,507,1,1,43,34,112,112,537,MT. PLEASANT 9,309,019,975,5.192200643,11.77050677,CHARLESTON,1162,23,8,38617.07095,55888382.58,1354
523,510,31,515,22,6,1,42,42,111,111,496,NORTH CHARLESTON 1,601,019,1323,2.462933462,12.27693079,CHARLESTON,932,4,8,40278.56375,26510795.15,1110
524,600,130,614,121,6,1,42,42,113,113,493,NORTH CHARLESTON 10,610,019,2771,1.197058695,5.210440171,CHARLESTON,1403,12,7,17094.58579,12885032.56,2970
525,422,273,423,283,6,1,42,42,113,113,494,NORTH CHARLESTON 11,611,019,1115,1.156085396,6.352691724,CHARLESTON,968,20,7,20842.12277,12443999.64,1055
526,492,302,501,309,6,1,42,42,113,113,492,NORTH CHARLESTON 12,612,019,602,0.851429507,5.496803484,CHARLESTON,1091,31,16,18034.0961,9164710.938,1379
527,459,68,466,62,6,1,42,42,113,113,491,NORTH CHARLESTON 13,613,019,1856,1.339643866,6.334517421,CHARLESTON,938,3,2,20782.4959,14419806.56,1662
528,356,153,369,153,6,1,42,42,113,113,490,NORTH CHARLESTON 14,614,019,817,0.572348598,3.722559211,CHARLESTON,772,18,6,12213.09634,6160709.035,931
529,689,95,707,88,6,1,42,42,113,111,498,NORTH CHARLESTON 15,615,019,2278,1.396542413,5.949634614,CHARLESTON,1433,13,7,19519.75956,15032257.42,2365
530,545,140,553,144,6,1,42,42,113,111,489,NORTH CHARLESTON 16,616,019,1354,1.588004041,7.637961482,CHARLESTON,1135,20,7,25058.87863,17093133.24,1555
531,434,54,448,42,6,1,42,42,113,113,487,NORTH CHARLESTON 17,617,019,1523,3.301228674,10.22903975,CHARLESTON,878,8,6,33559.77458,35534129.71,1526
532,867,232,882,219,6,1,42,42,109,109,557,NORTH CHARLESTON 18,618,019,1492,10.89545033,26.11752179,CHARLESTON,1887,13,14,85687.23607,117277651.3,3448
533,634,113,650,105,6,1,42,42,109,109,558,NORTH CHARLESTON 19,619,019,3632,2.098399934,9.931274326,CHARLESTON,1134,8,3,32582.85585,22586988.9,1843
534,292,19,295,16,6,1,42,42,111,111,486,NORTH CHARLESTON 2,602,019,3063,7.018348711,15.76557522,CHARLESTON,541,1,3,51724.22471,75544876.79,1789
535,314,244,318,238,6,1,41,42,109,109,559,NORTH CHARLESTON 20,620,019,2640,1.129365978,6.113847308,CHARLESTON,791,12,13,20058.51404,12156394.21,1280
536,631,237,637,235,6,1,42,42,109,109,561,NORTH CHARLESTON 21,621,019,2328,1.621405312,6.937263714,CHARLESTON,1409,18,15,22760.00604,17452661.53,2704
537,638,196,660,174,6,1,42,42,109,109,560,NORTH CHARLESTON 22,622,019,1220,1.882860148,7.736268465,CHARLESTON,1497,14,19,25381.40746,20266937.96,2642
538,953,494,976,476,6,1,41,42,109,109,508,NORTH CHARLESTON 23,623,019,3389,4.352213015,11.19968049,CHARLESTON,2285,32,20,36744.28509,46846831.01,3360
539,1334,321,1368,295,6,1,42,42,113,109,435,NORTH CHARLESTON 24,624,019,3717,19.33245679,22.84437948,CHARLESTON,2879,30,26,74948.60168,208092833,5435
540,353,56,363,54,6,1,42,42,113,113,488,NORTH CHARLESTON 25,625,019,909,1.889706167,7.446348899,CHARLESTON,701,6,2,24430.22968,20340627.89,1018
541,195,37,202,31,6,1,42,42,113,113,562,NORTH CHARLESTON 26,626,019,2492,2.179383999,8.749933192,CHARLESTON,414,2,1,28707.07248,23458694.13,922
542,454,157,462,149,6,1,42,42,113,113,441,NORTH CHARLESTON 27,627,019,3157,2.500581758,8.759089868,CHARLESTON,1099,8,10,28737.11401,26916038.04,3061
543,370,84,377,81,6,1,42,42,15,113,442,NORTH CHARLESTON 28,628,019,2203,3.712629381,9.310286309,CHARLESTON,981,8,5,30545.49767,39962410.07,3038
544,301,156,304,148,6,1,42,42,15,109,440,NORTH CHARLESTON 29,629,019,2746,1.5997811,5.68455025,CHARLESTON,883,10,10,18650.06195,17219900.45,2738
545,412,518,430,503,6,1,41,42,111,111,509,NORTH CHARLESTON 3,603,019,1588,4.439656409,9.789164542,CHARLESTON,1306,20,17,32116.61733,47788063.87,1594
546,978,277,989,271,6,1,42,42,113,109,436,NORTH CHARLESTON 30,630,019,3029,5.838557901,11.73252031,CHARLESTON,1961,14,13,38492.44371,62845714.21,2995
547,683,92,698,87,6,1,42,42,109,109,485,NORTH CHARLESTON 4,604,019,1740,1.824718104,6.971656931,CHARLESTON,1256,8,3,22872.84445,19641102.2,1807
548,1038,88,1053,78,6,1,42,42,109,111,563,NORTH CHARLESTON 5,605,019,830,1.71398136,7.351070859,CHARLESTON,1901,9,9,24117.63831,18449141.81,2709
549,767,35,773,31,6,1,42,42,109,111,495,NORTH CHARLESTON 6,606,019,2127,1.853852922,7.160968353,CHARLESTON,1385,11,6,23493.94367,19954706.78,2048
550,635,37,642,35,6,1,42,42,113,111,497,NORTH CHARLESTON 7,607,019,2532,2.812336456,10.67904038,CHARLESTON,1486,16,11,35036.15166,30271737.68,2354
551,526,195,550,187,6,1,42,42,113,111,564,NORTH CHARLESTON 8,608,019,2989,2.931818592,11.1176085,CHARLESTON,1145,26,9,36475.02055,31557832.68,1267
552,753,322,769,327,6,1,37,42,113,113,499,NORTH CHARLESTON 9,609,019,2579,8.253188881,14.8825756,CHARLESTON,1694,29,9,48827.2501,88836585.76,2754
553,355,173,348,180,1,1,42,41,111,111,480,ST. ANDREWS 1,501,019,870,2.435164617,7.035902742,CHARLESTON,760,6,4,23083.62425,26211893.78,885
554,539,289,541,293,1,1,41,41,111,111,479,ST. ANDREWS 10,510,019,1497,0.916894206,5.126553875,CHARLESTON,1215,19,15,16819.36884,9869367.097,1484
555,358,413,352,428,1,1,41,41,114,114,567,ST. ANDREWS 11,511,019,1340,3.222366066,8.563290195,CHARLESTON,969,15,11,28094.72791,34685259.66,1127
556,434,428,420,478,1,1,41,41,114,114,566,ST. ANDREWS 12,512,019,1939,5.843723789,11.60858516,CHARLESTON,1084,33,9,38085.83316,62901319.37,1305
557,471,372,459,393,1,1,41,41,114,114,569,ST. ANDREWS 13,513,019,1354,2.595381598,8.130591169,CHARLESTON,1289,16,9,26675.11453,27936455.02,1603
558,626,437,641,434,1,1,41,41,114,114,565,ST. ANDREWS 14,514,019,1220,1.434429489,6.142798195,CHARLESTON,1487,22,14,20153.49708,15440070.51,1977
559,773,162,800,146,1,1,42,41,119,119,503,ST. ANDREWS 15,515,019,1927,2.676218597,6.88395221,CHARLESTON,1610,21,11,22585.09988,28806577.24,2036
560,442,399,442,412,1,1,41,41,119,119,570,ST. ANDREWS 16,516,019,1505,3.28031788,11.93919719,CHARLESTON,1151,27,15,39170.5161,35309047.8,1233
561,601,705,599,715,1,1,41,41,119,119,501,ST. ANDREWS 17,517,019,2243,3.248155909,8.396249559,CHARLESTON,1806,25,25,27546.69543,34962859.22,2290
562,958,304,973,297,1,1,42,41,111,119,511,ST. ANDREWS 18,518,019,2683,2.541137253,8.084097608,CHARLESTON,1946,23,19,26522.5769,27352573.74,2724
563,235,22,243,18,1,1,42,41,119,114,572,ST. ANDREWS 19,519,019,3735,0.295441792,2.404559676,CHARLESTON,358,4,2,7888.959536,3180108.979,424
564,573,277,575,285,1,1,42,41,119,119,515,ST. ANDREWS 2,502,019,1279,0.781511398,3.718430378,CHARLESTON,1368,18,8,12199.55033,8412118.676,1393
565,1085,611,1099,617,1,1,41,41,114,114,571,ST. ANDREWS 20,520,019,1309,2.877029045,14.52841064,CHARLESTON,2920,41,21,47665.29392,30968082.9,3922
566,344,256,345,262,1,1,41,41,114,114,568,ST. ANDREWS 21,521,019,1047,1.642124096,8.98205009,CHARLESTON,942,12,11,29468.60934,17675676.66,1385
567,416,528,420,529,1,1,41,41,114,114,573,ST. ANDREWS 22,522,019,395,3.883014412,14.49342118,CHARLESTON,1307,19,16,47550.49931,41796419.27,1516
568,407,271,433,253,1,1,41,41,114,114,574,ST. ANDREWS 23,523,019,1407,1.083501931,6.707318123,CHARLESTON,1209,22,15,22005.59288,11662717.72,1491
569,604,300,609,303,1,1,41,41,114,114,506,ST. ANDREWS 24,524,019,2100,0.807330704,4.068478238,CHARLESTON,1410,15,11,13347.99902,8690035.371,2004
570,666,300,680,292,1,1,42,41,119,114,575,ST. ANDREWS 25,525,019,1477,2.332525307,9.149098229,CHARLESTON,1709,22,15,30016.66644,25107093.45,2305
571,608,443,619,443,1,1,41,41,119,119,502,ST. ANDREWS 26,526,019,1869,1.232699451,4.44677264,CHARLESTON,1491,29,17,14589.1199,13268666.46,1848
572,1923,1355,1950,1387,1,1,41,41,116,116,577,ST. ANDREWS 27,527,019,2803,13.55478416,17.1558821,CHARLESTON,4930,97,38,56285.58987,145902482.4,6553
573,1336,1109,1333,1136,1,1,41,38,116,116,578,ST. ANDREWS 28,528,019,2631,18.52931092,24.0799963,CHARLESTON,3601,55,33,79002.45452,199447842.8,4758
574,1387,1170,1414,1179,1,1,41,41,119,119,576,ST. ANDREWS 29,529,019,2062,6.381952823,12.26219564,CHARLESTON,3965,74,42,40230.22018,68694768.47,5106
575,895,186,906,197,1,1,42,41,111,111,478,ST. ANDREWS 3,503,019,1702,2.076836897,9.215091983,CHARLESTON,1502,25,11,30233.18095,22354886.3,1571
576,719,616,728,621,1,1,41,41,119,114,505,ST. ANDREWS 30,530,019,2744,2.143065535,6.288665227,CHARLESTON,2319,37,19,20632.0625,23067765.44,2771
577,447,447,462,453,1,1,41,41,114,114,504,ST. ANDREWS 31,531,019,1453,1.558744563,6.394640802,CHARLESTON,1288,32,13,20979.7507,16778186.84,1800
578,399,503,413,488,1,1,41,41,114,114,507,ST. ANDREWS 32,532,019,1479,1.514867385,5.345084613,CHARLESTON,1208,22,22,17536.33177,16305896.82,1476
579,253,365,250,376,1,1,41,41,114,114,581,ST. ANDREWS 33,533,019,2058,2.700287743,10.6681755,CHARLESTON,801,17,11,35000.50578,29065655.37,1037
580,822,1043,829,1053,1,1,41,41,114,114,579,ST. ANDREWS 34,534,019,2385,4.064920915,10.65129994,CHARLESTON,2594,32,17,34945.13987,43754444.58,3060
581,580,822,595,829,1,1,41,41,114,114,582,ST. ANDREWS 35,535,019,883,2.644692172,8.283830907,CHARLESTON,1876,29,11,27177.86857,28467229.62,2078
582,585,713,612,705,1,1,41,38,114,114,580,ST. ANDREWS 36,536,019,2893,10.9078373,23.81583613,CHARLESTON,1751,28,10,78135.78905,117410983.6,2058
583,1751,1684,1747,1710,1,1,41,38,114,114,583,ST. ANDREWS 37,537,019,2011,47.28160674,37.7820898,CHARLESTON,5014,78,49,123956.7396,508934979.3,6444
584,652,580,639,613,1,1,41,41,119,119,585,ST. ANDREWS 4,504,019,1422,3.233716816,9.549886518,CHARLESTON,1680,27,8,31331.58602,34807438.12,1993
585,676,432,634,492,1,1,41,41,119,119,584,ST. ANDREWS 5,505,019,3482,2.052528344,7.642361822,CHARLESTON,1418,21,11,25073.31541,22093231.22,1669
586,434,564,428,588,1,1,41,41,119,119,514,ST. ANDREWS 6,506,019,1429,2.113167648,8.427223817,CHARLESTON,1297,15,4,27648.31681,22745947.26,1432
587,690,705,708,714,1,1,41,41,119,119,510,ST. ANDREWS 7,507,019,2181,3.28743139,15.15959155,CHARLESTON,1901,36,12,49736.09327,35385616.98,2117
588,532,108,539,109,1,1,42,41,111,111,512,ST. ANDREWS 8,508,019,1278,0.948921959,5.249662651,CHARLESTON,949,10,4,17223.26822,10214110.96,1100
589,793,63,807,58,1,1,42,41,111,111,513,ST. ANDREWS 9,509,019,2179,0.704085761,4.257423122,CHARLESTON,1369,16,8,13967.89569,7578716.053,1743
590,449,174,472,164,6,1,45,45,116,116,587,ST. PAULS 1,460,019,1498,115.3676746,72.29205128,CHARLESTON,865,12,2,237178.1716,1241807315,1103
591,381,279,387,271,6,1,45,45,116,116,586,ST. PAULS 2A,461,019,1551,157.3804585,60.3923666,CHARLESTON,953,7,13,198137.2894,1694029157,1261
592,652,423,663,414,6,1,45,45,116,116,588,ST. PAULS 2B,462,019,1155,53.40805261,36.69946805,CHARLESTON,1483,11,20,120404.8381,574879493.8,1786
593,600,1116,590,1136,6,1,45,45,116,116,589,ST. PAULS 3,463,019,1920,60.35559431,56.20207214,CHARLESTON,2136,11,9,184389.6317,649662210.3,2385
594,948,288,972,275,6,1,45,45,116,116,591,ST. PAULS 4,464,019,1790,36.6376953,31.97507,CHARLESTON,1764,21,14,104904.8755,394364870.1,2400
595,411,427,418,415,6,1,45,45,116,116,590,ST. PAULS 5,465,019,2087,21.43359352,23.39182074,CHARLESTON,1178,11,13,76744.6652,230709280.6,1821
596,727,1006,719,1015,6,1,45,45,116,116,433,ST. PAULS 6,466,019,2478,73.6481921,46.53040404,CHARLESTON,2279,13,17,152658.5006,792742542.1,2907
597,793,676,763,718,1,1,43,43,112,112,452,SULLIVANS ISLAND,032,019,1791,48.50428674,30.29534097,CHARLESTON,1806,22,8,99393.96449,522095797.2,1891
598,840,900,783,980,1,1,43,43,115,119,417,TOWN OF SEABROOK,181,019,1738,55.50827467,37.59643986,CHARLESTON,2383,13,6,123347.6531,597486095.9,2178
599,541,371,540,376,6,1,45,41,116,116,418,WADMALAW ISLAND 1,174,019,1306,69.34665256,52.61320609,CHARLESTON,1196,11,5,172615.1603,746441155.9,1406
600,584,304,578,319,6,1,45,41,116,116,419,WADMALAW ISLAND 2,175,019,1419,61.75377209,50.76156367,CHARLESTON,1200,10,8,166540.2301,664712070.7,1442
601,60,698,69,670,5,5,14,14,29,29,609,ALLENS,001,021,1293,26.17433032,31.09184763,CHEROKEE,1063,4,18,102007.1701,281738146.7,1748
602,549,517,565,497,5,5,14,14,30,30,612,ALMA MILL,002,021,2118,24.72385099,34.30660535,CHEROKEE,1785,10,11,112554.2544,266125317.2,3323
603,102,866,119,807,5,5,14,14,30,29,600,ANTIOCH AND KINGS CREEK,003,021,2290,82.19191666,49.88846829,CHEROKEE,1386,6,43,163675.7497,884706427.9,2366
604,120,764,133,743,5,5,14,14,30,30,594,ASHWORTH,004,021,2485,34.6982858,28.4974507,CHEROKEE,1219,10,16,93495.38619,373489240,1810
605,192,491,198,472,5,5,14,14,30,30,601,BLACKSBURG WARD NO. 1,005,021,2219,25.93707607,28.02853175,CHEROKEE,1035,10,21,91956.94126,279184363.3,1611
606,151,789,163,768,5,5,14,14,30,30,602,BLACKSBURG WARD NO. 2,006,021,1470,23.92960196,28.03015142,CHEROKEE,1407,16,24,91962.25512,257576091.8,2166
607,243,899,267,864,5,5,14,14,29,29,610,DRAYTONVILLE,010,021,1729,57.28421511,40.13651319,CHEROKEE,1626,14,19,131681.2103,616602159.8,2786
608,167,930,180,906,5,5,14,14,30,30,593,EZELLS AND BUTLER,011,021,1906,44.05238614,35.17575988,CHEROKEE,1506,10,20,115405.8055,474175938.1,2385
609,294,148,305,132,5,5,14,14,30,30,616,GAFFNEY WARD NO. 1,012,021,2094,1.42756116,7.237269271,CHEROKEE,779,3,7,23744.27426,15366140.44,1501
610,577,180,582,174,5,5,14,14,30,30,615,GAFFNEY WARD NO. 2,013,021,1872,2.652763853,8.282389566,CHEROKEE,1206,11,14,27173.13977,28554112.47,1688
611,617,122,638,109,5,5,14,14,29,30,620,GAFFNEY WARD NO. 3,014,021,1762,2.593503935,13.83386566,CHEROKEE,1093,9,5,45386.60758,27916244.03,1596
612,526,511,539,498,5,5,14,14,29,30,617,GAFFNEY WARD NO. 4,015,021,1507,4.111925754,16.46022382,CHEROKEE,1514,11,17,54003.25097,44260400.45,1999
613,292,493,295,490,5,5,14,14,29,30,619,GAFFNEY WARD NO. 5,016,021,1824,2.384295647,7.898718371,CHEROKEE,1149,9,11,25914.37852,25664344.75,2019
614,287,626,291,611,5,5,14,14,29,30,618,GAFFNEY WARD NO. 6,017,021,1950,3.258217181,17.59766635,CHEROKEE,1221,8,18,57735.01034,35071157.85,1976
615,135,874,143,848,5,5,14,14,29,29,607,GOUCHER AND THICKETTY,019,021,2386,58.22197885,62.12508867,CHEROKEE,1303,6,25,203822.0617,626696164.6,2047
616,363,1449,374,1427,5,5,14,14,30,30,597,GRASSY POND,018,021,2475,45.34692452,37.22784038,CHEROKEE,2275,16,24,122138.3396,488110233.2,3198
617,115,773,131,740,5,5,14,14,30,30,599,HOLLY GROVE-BUFFALO,020,021,1545,51.596919,38.45639637,CHEROKEE,1361,15,29,126169.0271,555384613.9,2154
618,232,278,241,267,5,5,14,14,30,30,614,LIMESTONE MILL,021,021,1101,3.778156314,10.09449299,CHEROKEE,917,3,8,33118.34909,40667736.1,1810
619,34,270,38,262,5,5,14,14,29,29,605,LITTLEJOHN'S AND SARRATT'S,022,021,923,106.2312549,66.39399013,CHEROKEE,381,0,5,217827.6159,1143463712,584
620,213,946,223,933,5,5,14,14,29,30,596,MACEDONIA,023,021,1341,52.1430506,47.47803588,CHEROKEE,1526,13,17,155767.5227,561263125.5,2846
621,141,855,148,826,5,5,14,14,30,30,592,MORGAN,024,021,2228,34.01912666,26.62664191,CHEROKEE,1282,11,30,87357.57433,366178831.8,2116
622,314,740,328,717,5,5,14,14,29,29,611,MUSGROVE MILL,025,021,2974,35.17038562,45.03241499,CHEROKEE,1477,8,17,147743.8482,378570880.1,2129
623,64,626,72,608,5,5,14,14,30,30,603,NINETY NINE AND CHEROKEE FALLS,026,021,2219,40.45730066,35.67575936,CHEROKEE,919,2,13,117046.2205,435478760,1401
624,383,374,390,365,5,5,14,14,30,30,598,PLEASANT GROVE,027,021,2860,26.37820253,25.34243997,CHEROKEE,982,5,8,83144.3218,283932609,1587
625,409,150,414,144,5,5,14,14,30,30,613,PLEASANT MEADOWS,028,021,3735,2.739883924,7.187560156,CHEROKEE,807,6,5,23581.18695,29491865.11,1035
626,75,677,84,665,5,5,14,14,29,29,608,TIMBER RIDGE,030,021,1886,48.25737255,35.77047415,CHEROKEE,960,8,10,117356.964,519438035.1,1423
627,158,810,164,775,5,5,14,14,29,29,606,WHITE PLAINS,031,021,641,72.83086157,68.89696952,CHEROKEE,1410,9,35,226039.4742,783944869.5,2451
628,22,408,22,403,5,5,14,14,29,29,604,WILKINSVILLE AND METCALF,032,021,1455,96.78082245,53.90329668,CHEROKEE,586,2,8,176847.7325,1041740103,928
629,117,704,117,692,5,5,14,14,30,30,595,WOODS,033,021,1722,19.48848479,18.43720016,CHEROKEE,1045,9,18,60489.38085,209772304.4,1533
630,435,361,463,322,5,5,17,17,43,41,621,BALDWIN MILL,001,023,1560,46.66380023,38.53112261,CHESTER,1227,4,19,126414.1914,502284965.3,2059
631,125,428,134,406,5,5,17,17,43,43,622,BATON ROUGE,002,023,2143,104.3327476,63.14519277,CHESTER,724,3,18,207168.8533,1123028349,988
632,272,388,286,373,5,5,17,17,43,43,633,BECKHAMVILLE,003,023,2415,50.04050875,38.27833122,CHESTER,934,4,11,125584.825,538631553.4,1237
633,203,318,209,306,5,5,17,17,43,43,636,BLACKSTOCK,004,023,1200,126.5051837,61.14011665,CHESTER,688,1,8,200590.5327,1361690465,918
634,768,334,788,312,5,5,17,17,41,41,624,CHESTER WARD 1,029,023,1634,25.05998959,21.8520328,CHESTER,1639,18,14,71692.8776,269743482.9,2323
635,503,125,515,115,5,5,17,17,41,43,623,CHESTER WARD 2,030,023,1021,5.607539809,21.36708979,CHESTER,977,5,5,70101.86041,60359056.16,1439
636,567,512,590,486,5,5,17,17,41,43,638,CHESTER WARD 3,031,023,304,26.68300336,29.83129529,CHESTER,1519,17,15,97871.50796,287213457.8,2099
637,477,190,483,178,5,5,17,17,43,41,625,CHESTER WARD 4,032,023,2196,8.284276958,18.25178648,CHESTER,1049,7,11,59881.06948,89171215.05,1419
638,267,513,289,488,5,5,17,17,43,43,639,CHESTER WARD 5,033,023,2088,58.38516092,45.39723796,CHESTER,1026,4,9,148940.7715,628452641.8,1654
639,220,632,228,621,5,5,17,17,43,43,630,EDGEMOOR,009,023,1889,43.6713196,33.06871806,CHESTER,1094,11,17,108492.9525,470074171.9,1611
640,685,422,705,399,5,5,17,17,41,43,626,EUREKA MILL,010,023,1561,18.19157496,23.4902526,CHESTER,1604,13,14,77067.60372,195812483.2,2442
641,408,716,430,683,5,5,17,17,43,43,632,FORT LAWN,011,023,1972,67.49764103,53.68447047,CHESTER,1540,10,23,176129.8002,726538561.4,2436
642,278,340,287,316,5,5,17,17,43,43,640,GREAT FALLS,035,023,1720,25.18046555,30.21795803,CHESTER,1118,2,19,99140.08397,271040275.5,1813
643,86,80,87,80,5,5,17,17,41,41,637,HALSELLVILLE,012,023,979,133.109782,68.00285138,CHESTER,201,1,0,223106.0216,1432781769,303
644,171,434,186,412,5,5,17,17,43,43,635,HAZELWOOD,013,023,706,144.691913,60.96524889,CHESTER,807,11,14,200016.8207,1557450789,1120
645,225,589,241,569,5,5,17,17,43,43,641,LANDO/LANSFORD,034,023,1880,78.99230154,55.88264164,CHESTER,1097,9,14,183341.6334,850266057.4,1567
646,216,548,238,519,5,5,17,17,43,43,628,LOWRYS,018,023,863,89.46410545,53.08462699,CHESTER,1008,13,19,174161.8137,962983616.5,1533
647,389,604,402,579,5,5,17,17,43,43,631,RICHBURG,021,023,1568,109.951075,57.21333417,CHESTER,1358,6,14,187707.4139,1183503521,1946
648,351,687,358,656,5,5,17,17,43,43,629,RODMAN,022,023,1434,122.5338046,55.35275303,CHESTER,1321,8,23,181603.1572,1318942895,1972
649,75,242,78,238,5,5,17,17,43,43,634,ROSSVILLE,023,023,1348,77.32723719,47.58310288,CHESTER,414,3,6,156112.23,832343453.9,643
650,219,194,227,186,5,5,17,17,29,43,627,WILKSBURG,024,023,2610,155.8592512,74.81224658,CHESTER,539,6,5,245446.5123,1677655017,772
651,146,333,146,327,7,5,27,27,65,53,643,ANGELUS-CATARRH,001,025,2031,126.0834319,55.00549866,CHESTERFIELD,652,9,10,180463.8735,1357150765,1082
652,33,250,34,247,7,5,27,27,53,53,651,BAY SPRINGS,002,025,3266,139.0870705,50.1248368,CHESTERFIELD,414,1,6,164451.2354,1497120767,581
653,90,200,98,187,7,5,27,27,53,53,653,BLACK CREEK,003,025,1244,64.76028721,34.24987552,CHESTERFIELD,401,3,6,112368.1333,697073930.1,740
654,655,491,680,466,7,5,27,27,54,53,655,BROCKS MILL,004,025,928,109.4220842,46.41973688,CHESTERFIELD,1708,9,10,152295.4201,1177809512,2423
655,414,342,419,338,7,5,29,27,54,54,658,CASH,005,025,463,139.6373748,57.61674932,CHESTERFIELD,1086,15,13,189030.9517,1503044193,1355
656,389,339,403,321,7,5,27,27,53,53,642,CENTER GROVE-WINZO,006,025,1609,91.74909659,46.77827543,CHESTERFIELD,1107,3,6,153471.7253,987579056.5,2067
657,410,587,430,567,7,5,27,27,53,53,647,CHERAW NO. 1,007,025,1034,19.05817161,18.27749376,CHESTERFIELD,1450,7,9,59965.41077,205140451.9,1940
658,364,349,376,338,7,5,27,27,53,53,648,CHERAW NO. 2,008,025,2033,10.61458128,15.36328896,CHESTERFIELD,1063,6,11,50404.39053,114254402,1610
