PSN,unshared,area,pop,voteA,voteB,Cong2011,Sen2011,House2011,CongLWV,CongRuoff,SenLWV,HouseLWV,CongDraft,CongDrft2H,CongDrft3H,CongDrft2S,SenDraft,HouseDraft,HouseDrft2,HouseNAACP,county
247,0,53.2875986,557,122,215,1,46,123,2,2,46,120,1,2,1,1,46,123,123,123,BEAUFORT
248,0,9.81241538,2663,618,744,1,46,123,2,2,46,123,1,2,1,1,46,123,123,120,BEAUFORT
249,0,3.213848556,1505,392,547,1,46,123,2,2,46,123,1,2,1,1,46,123,123,123,BEAUFORT
250,0,4.955028509,969,238,324,1,46,123,2,2,46,123,1,2,1,1,46,123,123,123,BEAUFORT
251,0,34.7396919,1196,348,421,1,46,123,2,2,46,123,1,2,1,1,46,123,123,123,BEAUFORT
252,0,39.88190546,1050,300,496,1,46,123,2,2,46,123,1,2,1,1,46,123,123,123,BEAUFORT
253,0,2.23953969,588,192,258,1,46,123,2,2,46,123,1,2,1,1,46,123,123,123,BEAUFORT
254,0,6.8560355,936,282,466,1,46,123,2,2,46,123,1,2,1,1,46,123,123,123,BEAUFORT
255,0,2.900310676,2249,479,428,1,46,123,2,2,46,123,1,2,1,1,46,123,123,120,BEAUFORT
256,0,6.78003678,1923,494,438,1,46,120,2,2,46,123,1,2,1,1,46,120,120,120,BEAUFORT
257,0,6.054397609,2048,527,529,1,46,123,2,2,46,123,1,2,1,1,46,123,123,120,BEAUFORT
258,0,18.16114078,3809,577,355,1,46,123,2,2,46,123,1,2,1,1,46,123,123,120,BEAUFORT
259,0,5.997176903,1703,517,883,1,46,123,2,2,46,123,1,2,1,1,46,123,123,120,BEAUFORT
260,0,3.061782533,1002,265,495,1,46,123,2,2,46,123,1,2,1,1,46,123,123,120,BEAUFORT
261,0,6.434978901,906,299,420,1,46,123,2,2,46,123,1,2,1,1,46,123,123,120,BEAUFORT
262,0,4.783450707,1300,434,626,1,46,123,2,2,46,123,1,2,1,1,46,123,123,120,BEAUFORT
263,0,1.641798966,1125,354,489,1,46,123,2,2,46,123,1,2,1,1,46,123,123,120,BEAUFORT
264,0,2.87384709,1140,414,477,1,46,123,2,2,46,123,1,2,1,1,46,123,123,120,BEAUFORT
265,0,14.01465345,1078,360,487,1,46,123,2,2,46,123,1,2,1,1,46,123,123,120,BEAUFORT
266,0,1.923891615,975,322,480,1,46,123,2,2,46,123,1,2,1,1,46,123,123,120,BEAUFORT
267,0,2.565807995,1041,300,453,1,46,123,2,2,46,123,1,2,1,1,46,123,123,120,BEAUFORT
268,0,41.88645422,1474,428,706,1,46,123,2,2,46,123,1,2,1,1,46,123,123,120,BEAUFORT
269,0,46.32526677,1608,417,606,1,46,123,2,2,46,123,1,2,1,1,46,123,123,120,BEAUFORT
270,0,16.24567343,1716,452,699,1,46,123,2,2,46,123,1,2,1,1,46,123,123,120,BEAUFORT
271,0,4.643404378,1059,294,378,1,46,123,2,2,46,123,1,2,1,1,46,123,123,123,BEAUFORT
272,0,4.172647853,1878,556,642,1,46,123,2,2,46,123,1,2,1,1,46,123,123,123,BEAUFORT
273,0,6.618905214,1462,317,816,1,46,123,2,2,46,123,1,2,1,1,46,123,123,120,BEAUFORT
274,0,15.59318964,2323,536,582,1,43,124,2,2,43,124,1,2,1,1,43,124,124,124,BEAUFORT
275,0,33.76261845,2121,600,670,1,43,124,2,2,43,124,1,2,1,1,43,124,124,124,BEAUFORT
276,0,5.397128749,2096,386,778,1,43,124,2,2,43,124,1,2,1,1,43,124,124,124,BEAUFORT
277,0,16.51635415,1732,385,631,1,43,124,2,2,43,124,1,2,1,1,43,124,124,124,BEAUFORT
278,0,71.90149572,1336,260,446,1,43,124,2,2,43,124,1,2,1,1,43,124,124,124,BEAUFORT
279,0,14.31807719,1138,318,485,1,43,124,2,2,43,124,1,2,1,1,43,124,124,124,BEAUFORT
280,0,6.201607637,1738,334,640,1,43,124,2,2,43,124,1,2,1,1,43,124,124,124,BEAUFORT
281,0,5.285761058,1568,288,446,1,43,124,2,2,43,124,1,2,1,1,43,124,124,124,BEAUFORT
282,0,6.714922429,1677,525,785,1,46,120,2,2,46,120,1,2,1,1,46,120,120,120,BEAUFORT
283,0,2.835728844,1447,257,394,1,43,124,2,2,43,124,1,2,1,1,43,124,124,124,BEAUFORT
284,0,2.80548006,1624,332,497,1,43,124,2,2,43,124,1,2,1,1,43,124,124,124,BEAUFORT
285,0,1.656792649,1781,362,415,1,43,124,2,2,43,124,1,2,1,1,43,124,124,124,BEAUFORT
286,0,10.93671921,4169,702,1146,1,46,118,2,2,46,118,1,2,1,1,46,118,118,123,BEAUFORT
287,0,74.3845911,931,182,398,1,45,118,2,2,46,120,1,2,1,1,46,120,120,123,BEAUFORT
288,0,5.694192636,1960,413,403,1,43,124,2,2,43,124,1,2,1,1,43,124,124,124,BEAUFORT
289,0,3.288792656,2070,448,324,1,43,124,2,2,43,124,1,2,1,1,43,124,124,124,BEAUFORT
290,0,6.388135611,2053,459,995,1,46,120,2,2,46,120,1,2,1,1,46,120,120,118,BEAUFORT
291,0,37.64219076,1651,757,159,1,43,121,2,2,43,121,1,2,1,1,43,121,121,121,BEAUFORT
292,0,129.9776178,1663,765,245,1,43,121,2,2,43,121,1,2,1,1,43,121,121,121,BEAUFORT
293,0,13.89586484,1396,478,732,1,43,124,2,2,43,124,1,2,1,1,43,124,124,124,BEAUFORT
294,0,43.99896101,1556,604,365,1,43,121,2,2,43,124,1,2,1,1,43,121,121,121,BEAUFORT
295,0,54.43867872,1756,687,225,1,43,121,2,2,43,121,1,2,1,1,43,121,121,121,BEAUFORT
296,0,369.8382247,1192,328,549,1,43,121,2,2,43,121,1,2,1,1,43,121,121,121,BEAUFORT
297,0,2.303470947,2470,419,413,1,46,118,2,2,46,118,1,2,1,1,46,118,118,118,BEAUFORT
298,0,10.91090788,2057,402,301,1,45,121,2,2,45,121,1,2,1,1,45,121,121,121,BEAUFORT
299,0,20.91981399,1196,455,195,6,45,121,2,2,45,121,1,2,1,1,45,121,121,121,BEAUFORT
300,0,33.30927645,2161,519,370,6,45,121,2,2,45,121,1,2,1,1,45,121,121,121,BEAUFORT
301,0,121.4422102,1434,437,359,6,45,121,2,2,45,121,6,2,1,1,45,121,121,121,BEAUFORT
302,0,113.8251805,1100,474,61,6,45,121,2,2,45,121,6,2,1,1,45,121,121,121,BEAUFORT
303,0,2.461873782,1417,516,725,1,46,118,2,2,46,118,1,2,1,1,46,118,118,123,BEAUFORT
304,0,2.069865309,1148,406,560,1,46,118,2,2,46,118,1,2,1,1,46,118,118,123,BEAUFORT
305,0,2.553420111,1662,579,815,1,46,118,2,2,46,118,1,2,1,1,46,118,118,123,BEAUFORT
306,0,1.939341237,1336,471,667,1,46,118,2,2,46,118,1,2,1,1,46,118,118,123,BEAUFORT
307,0,1.796578357,1463,513,765,1,46,118,2,2,46,118,1,2,1,1,46,118,118,123,BEAUFORT
308,0,1.864932117,1345,491,682,1,46,118,2,2,46,118,1,2,1,1,46,118,118,123,BEAUFORT
309,0,3.015938047,1222,412,551,1,46,118,2,2,46,118,1,2,1,1,46,118,118,123,BEAUFORT
310,0,4.489453655,2685,534,620,1,46,118,2,2,46,118,1,2,1,1,46,118,118,123,BEAUFORT
311,0,104.0160714,1230,390,276,6,32,102,7,1,32,102,6,6,6,7,32,101,101,64,BERKELEY
312,0,134.2344886,350,15,170,6,37,100,7,1,37,100,1,6,1,7,37,103,103,103,BERKELEY
313,0,3.493537624,2179,479,409,1,37,117,1,1,37,15,1,1,1,7,39,15,92,117,BERKELEY
314,0,49.89648972,1892,340,589,1,37,102,7,1,37,100,1,1,1,7,37,101,100,102,BERKELEY
315,0,37.2936475,2100,255,880,1,37,100,7,1,37,100,1,1,1,7,37,100,100,100,BERKELEY
316,0,2.498948566,3803,887,638,1,37,117,1,1,37,15,1,1,1,7,37,15,92,117,BERKELEY
317,0,38.9855594,42,5,33,6,37,15,7,1,37,100,1,1,1,1,37,103,103,99,BERKELEY
318,0,153.5673395,1522,670,271,6,37,102,7,1,37,100,1,6,1,1,37,103,103,103,BERKELEY
319,0,5.860745839,5038,1012,1141,1,44,100,7,1,44,61,1,1,1,7,39,102,102,100,BERKELEY
320,0,4.575508996,1877,594,965,1,44,100,7,1,44,61,1,1,1,7,39,100,117,100,BERKELEY
321,0,10.19406778,2008,454,730,1,37,100,7,1,37,100,1,1,1,7,39,102,117,100,BERKELEY
322,0,2.261130167,3131,565,770,1,44,100,7,1,44,61,1,1,1,7,39,102,117,100,BERKELEY
323,0,35.63166038,2474,166,766,1,44,117,7,1,44,100,1,1,1,7,37,117,100,117,BERKELEY
324,0,11.35587223,1460,277,524,1,44,92,1,1,44,61,1,1,1,7,39,117,117,92,BERKELEY
325,0,4.778407616,3890,856,852,1,44,117,7,1,44,15,1,1,1,7,39,15,92,117,BERKELEY
326,0,2.729717125,3345,522,399,1,44,117,7,1,44,61,1,1,1,7,39,117,117,117,BERKELEY
327,0,175.2414409,1777,344,540,6,37,100,7,1,37,100,1,6,1,7,37,100,103,103,BERKELEY
328,0,174.1268654,1630,362,430,6,39,102,7,1,32,102,6,1,6,7,37,102,102,102,BERKELEY
329,0,5.075992011,3422,700,657,1,37,15,7,1,37,100,1,1,1,7,37,100,100,99,BERKELEY
330,0,12.43221441,2858,590,1272,1,37,99,1,1,37,99,1,1,1,1,44,99,99,99,BERKELEY
331,0,12.94371322,2513,677,765,6,37,99,1,1,37,99,1,6,1,1,44,99,99,99,BERKELEY
332,0,7.871360439,2658,670,865,1,37,99,1,1,37,110,1,1,1,1,44,99,99,99,BERKELEY
333,0,6.106773983,4103,946,1398,1,37,99,1,1,37,110,1,1,1,1,44,99,99,99,BERKELEY
334,0,2.03224751,3611,687,752,1,44,117,7,1,44,61,1,1,1,7,39,117,92,92,BERKELEY
335,0,1.304440913,2516,524,607,1,44,92,7,1,44,15,1,1,1,7,39,15,92,92,BERKELEY
336,0,2.748766459,3657,801,659,1,44,92,1,1,44,117,1,1,1,7,44,117,117,92,BERKELEY
337,0,156.989306,869,331,136,6,32,102,7,1,32,102,6,1,6,7,32,102,102,102,BERKELEY
338,0,8.964937626,2566,628,401,1,37,100,7,1,37,100,1,1,1,7,37,100,100,100,BERKELEY
339,0,3.108562565,1863,382,447,1,44,15,1,1,37,15,1,1,1,1,44,15,15,15,BERKELEY
340,0,3.913773825,2960,619,930,1,44,99,1,1,37,99,1,1,1,1,44,99,99,99,BERKELEY
341,0,4.184107423,2732,558,688,1,44,99,1,1,37,99,1,1,1,1,44,99,99,99,BERKELEY
342,0,9.723272765,3894,757,1005,1,37,100,7,1,37,100,1,1,1,7,37,100,100,100,BERKELEY
343,0,3.672504786,3439,529,1191,1,44,15,1,1,37,99,1,1,1,1,44,99,15,15,BERKELEY
344,0,3.75910533,2527,389,534,1,44,99,1,1,37,99,1,1,1,1,44,99,99,15,BERKELEY
345,0,1.816225261,2578,314,656,1,37,99,1,1,37,99,1,6,1,1,44,99,99,99,BERKELEY
346,0,1.233207851,2486,426,425,1,37,99,1,1,37,99,1,6,1,1,44,99,99,99,BERKELEY
347,0,2.294110301,2513,219,718,1,37,99,1,1,37,99,1,1,1,1,44,99,99,99,BERKELEY
348,0,1.093521878,3979,727,295,1,44,15,1,1,37,15,1,1,1,1,44,15,15,15,BERKELEY
349,0,167.9013923,2729,672,463,6,39,102,1,1,32,102,6,1,6,7,39,102,102,102,BERKELEY
350,0,6.247109408,2005,391,482,1,37,100,7,1,37,100,1,1,1,7,37,100,100,100,BERKELEY
351,0,3.666191934,4146,907,605,1,44,117,1,1,37,15,1,1,1,1,39,15,15,117,BERKELEY
352,0,3.038308839,1993,388,357,1,44,117,1,1,37,15,1,1,1,1,44,15,15,117,BERKELEY
353,0,246.7819292,1972,602,347,6,37,102,7,1,37,100,1,6,1,7,37,103,103,103,BERKELEY
354,0,138.9792986,716,232,160,6,32,102,7,1,32,102,1,6,1,7,37,103,103,103,BERKELEY
355,0,73.11985574,1161,145,466,1,39,102,1,1,32,102,1,1,1,7,39,102,102,102,BERKELEY
356,0,3.969405106,3754,972,731,1,37,117,1,1,37,15,1,1,1,1,37,15,15,117,BERKELEY
357,0,7.291083677,2502,194,882,1,44,100,7,1,44,61,1,1,1,7,39,100,117,100,BERKELEY
358,0,91.03672492,2245,145,946,1,37,100,7,1,37,100,1,1,1,7,37,101,101,103,BERKELEY
359,0,48.60067128,306,11,120,6,37,100,7,1,37,100,1,6,1,7,37,101,101,103,BERKELEY
360,0,37.70471904,1324,264,455,1,37,100,7,1,37,100,1,1,1,7,37,100,100,100,BERKELEY
361,0,17.69949369,4026,1028,729,1,37,15,7,1,37,100,1,1,1,7,37,15,100,99,BERKELEY
362,0,24.22521172,3070,542,762,1,37,102,7,1,32,100,1,1,1,7,37,100,100,102,BERKELEY
363,0,10.0788475,2658,619,536,1,37,102,7,1,32,102,1,1,1,7,37,102,100,102,BERKELEY
364,0,6.481938719,3461,913,593,1,37,100,7,1,32,102,1,1,1,7,37,100,100,102,BERKELEY
365,0,6.631150992,2159,298,903,1,37,100,7,1,32,100,1,1,1,7,37,100,100,100,BERKELEY
366,0,73.60052152,1770,752,210,6,39,102,7,1,32,102,6,1,6,7,32,102,102,102,BERKELEY
367,0,5.803742592,2619,563,795,1,44,100,1,1,44,61,1,1,1,7,39,117,117,100,BERKELEY
368,0,12.4789515,1017,204,225,1,44,100,1,1,44,61,1,1,1,7,39,117,117,100,BERKELEY
369,0,14.67776991,2162,317,486,1,37,100,7,1,32,100,1,1,1,7,37,100,100,100,BERKELEY
370,0,31.76310183,1586,201,737,1,37,15,7,1,37,100,1,1,1,7,37,100,100,100,BERKELEY
371,0,12.74070992,0,0,0,6,37,15,1,1,37,99,1,1,1,1,37,103,103,99,BERKELEY
372,0,141.4443303,2417,279,1170,1,37,102,7,1,32,102,1,1,1,7,37,102,100,102,BERKELEY
373,0,24.81490111,6,0,0,6,37,15,1,1,37,99,1,1,1,1,37,103,103,99,BERKELEY
374,0,1.789777624,1991,370,503,1,44,92,1,1,44,117,1,1,1,7,44,117,117,92,BERKELEY
375,0,160.6163137,1755,853,149,6,32,102,7,1,32,102,6,1,6,7,32,102,102,102,BERKELEY
376,0,2.080421417,2055,808,984,1,44,92,1,1,44,117,1,1,1,7,44,117,117,92,BERKELEY
377,0,1.984276389,2316,443,624,1,44,92,1,1,44,117,1,1,1,7,44,117,117,92,BERKELEY
378,0,1.01579383,2109,406,498,1,44,92,1,1,44,117,1,1,1,7,44,117,117,92,BERKELEY
379,0,2.271282207,3030,644,459,1,44,15,1,1,37,15,1,1,1,1,44,15,15,15,BERKELEY
380,0,41.05462735,5590,201,192,6,37,99,1,1,37,99,1,1,1,1,37,99,99,99,BERKELEY
381,0,0.659294842,957,183,228,1,44,15,1,1,37,15,1,1,1,1,39,15,15,15,BERKELEY
382,0,5.04830709,2595,510,563,1,38,100,1,1,44,61,1,1,1,7,39,117,117,92,BERKELEY
383,0,191.8961639,488,120,167,6,32,102,7,1,32,102,1,6,1,7,32,103,103,103,BERKELEY
384,0,1.796840279,3114,503,532,1,44,15,1,1,37,15,1,1,1,1,44,15,15,15,BERKELEY
385,0,71.91858046,2059,828,162,6,32,102,7,1,32,102,6,1,6,7,32,102,102,64,BERKELEY
386,0,50.53949492,2178,534,454,6,32,102,7,1,32,102,6,1,6,7,32,101,101,102,BERKELEY
387,0,2.570949287,1899,399,677,1,44,92,7,1,44,117,1,1,1,7,44,15,92,92,BERKELEY
388,0,3.60799253,4310,457,503,1,44,117,1,1,44,61,1,1,1,7,39,117,117,117,BERKELEY
389,0,3.478233643,2110,497,1048,1,44,92,7,1,44,117,1,1,1,7,44,92,92,92,BERKELEY
390,0,6.074950625,3338,668,783,1,38,92,1,1,44,117,1,1,1,7,44,92,92,92,BERKELEY
391,0,3.242028992,3016,515,654,1,44,92,1,1,44,117,1,1,1,7,44,92,92,92,BERKELEY
392,0,1.354159063,2648,540,407,1,44,92,1,1,44,117,1,1,1,7,39,117,117,117,BERKELEY
393,0,22.78806398,3549,667,1262,1,37,99,1,1,37,99,1,1,1,1,37,99,99,99,BERKELEY
394,0,1.639777894,2172,428,621,1,44,100,1,1,44,61,1,1,1,7,39,117,117,100,BERKELEY
395,0,36.91412579,1636,464,339,1,37,102,7,1,44,102,1,1,1,7,39,102,102,102,BERKELEY
396,0,65.0442182,3703,742,1055,1,37,100,1,1,44,61,1,1,1,7,39,102,102,102,BERKELEY
397,0,3.20119485,3499,663,665,1,44,100,1,1,44,61,1,1,1,7,39,117,102,102,BERKELEY
398,0,1.297845331,1824,357,767,1,44,92,7,1,44,117,1,1,1,7,44,92,92,92,BERKELEY
399,0,2.104055651,2417,483,784,1,44,92,7,1,44,15,1,1,1,7,44,92,92,92,BERKELEY
400,0,2.236079071,2624,394,714,1,44,117,1,1,44,15,1,1,1,7,44,15,92,92,BERKELEY
401,0,1.529242009,2092,418,742,1,44,92,7,1,44,15,1,1,1,7,44,92,92,92,BERKELEY
402,0,7.493444509,3433,800,640,1,37,100,7,1,32,102,1,1,1,7,37,100,100,102,BERKELEY
403,0,23.47846262,1511,364,356,1,37,100,7,1,37,100,1,1,1,7,37,100,100,100,BERKELEY
404,0,7.330823244,459,115,166,1,37,100,7,1,37,61,1,1,1,7,39,102,102,100,BERKELEY
405,0,8.423527596,316,37,72,6,37,99,1,1,37,99,1,1,1,1,44,99,99,99,BERKELEY
406,0,46.47101009,3772,913,1079,6,37,99,1,1,37,99,1,6,1,1,37,99,99,99,BERKELEY
407,0,107.0905747,1398,227,477,6,26,93,6,6,39,93,6,6,6,6,26,93,93,93,CALHOUN
408,0,80.18076265,844,288,259,6,39,93,6,6,39,93,6,6,6,6,36,93,93,93,CALHOUN
409,0,89.21205251,1588,446,418,6,26,93,6,6,39,93,2,6,6,6,26,93,93,93,CALHOUN
410,0,54.69777783,267,72,90,6,39,93,6,6,39,66,6,6,6,6,36,93,93,93,CALHOUN
411,0,111.938227,2510,1154,351,6,39,93,6,6,39,93,6,6,6,6,26,93,93,93,CALHOUN
412,0,30.42469485,672,160,204,6,26,93,6,6,39,93,6,6,6,6,26,93,93,93,CALHOUN
413,0,89.26848427,309,89,100,6,39,93,6,6,39,93,6,6,6,6,36,93,93,93,CALHOUN
414,0,151.2332219,1226,351,428,6,39,93,6,6,39,66,6,6,6,6,36,93,93,93,CALHOUN
415,0,48.91077192,416,60,196,6,39,93,6,6,39,66,6,6,6,6,36,93,93,93,CALHOUN
416,0,29.89636658,605,211,134,6,39,93,6,6,39,93,6,6,6,6,26,93,93,93,CALHOUN
417,0,141.445647,2347,350,910,6,26,93,6,6,39,93,2,6,6,6,26,93,93,93,CALHOUN
418,0,82.23189546,1937,550,619,6,39,93,6,6,39,93,6,6,6,6,36,93,93,93,CALHOUN
419,0,322.5307516,1621,601,504,1,34,108,1,7,43,96,1,1,1,1,43,112,112,108,CHARLESTON
420,0,2.674016384,795,238,401,1,43,110,1,7,41,110,1,1,1,1,43,110,110,110,CHARLESTON
421,0,0.262149296,1336,241,52,6,42,110,1,1,42,110,6,1,6,1,20,111,111,111,CHARLESTON
422,0,1.182378774,2040,605,262,6,42,111,1,1,41,110,6,1,6,1,20,111,111,111,CHARLESTON
423,0,2.789651796,4169,864,243,6,42,111,1,1,42,111,6,1,6,1,20,111,111,111,CHARLESTON
424,0,0.300126549,1457,727,102,6,42,111,1,1,42,111,6,1,6,1,20,111,111,111,CHARLESTON
425,0,0.370563916,1748,523,139,6,42,111,1,1,42,111,6,1,6,1,20,111,111,111,CHARLESTON
426,0,13.97032549,2793,656,93,6,42,109,1,1,42,111,6,1,6,1,42,111,111,109,CHARLESTON
427,0,0.356241831,1384,707,120,6,42,111,1,1,42,111,6,1,6,1,42,111,111,111,CHARLESTON
428,0,0.673074049,1307,718,152,6,42,111,1,1,42,111,6,1,6,1,42,111,111,111,CHARLESTON
429,0,0.942764793,1735,852,126,6,42,111,1,1,42,111,6,1,6,1,42,111,111,111,CHARLESTON
430,0,0.289875216,986,497,86,6,42,111,1,1,42,111,6,1,6,1,42,111,111,111,CHARLESTON
431,0,1.210690861,976,298,430,1,43,110,1,1,41,110,1,1,1,1,43,110,110,110,CHARLESTON
432,0,1.140535865,1576,826,200,6,42,111,1,1,42,111,6,1,6,1,42,111,111,114,CHARLESTON
433,0,5.018618039,1168,481,46,6,42,111,1,1,42,111,6,6,6,1,42,111,111,111,CHARLESTON
434,0,0.294292736,1062,435,349,1,43,110,1,1,41,110,1,1,1,1,20,110,110,110,CHARLESTON
435,0,0.331762291,1145,378,252,1,43,110,1,1,41,110,1,1,1,1,20,110,110,111,CHARLESTON
436,0,0.878672368,1053,359,247,1,43,110,1,1,41,110,6,1,1,1,20,110,110,111,CHARLESTON
437,0,1.634792912,1736,512,292,1,43,110,1,1,41,110,6,1,1,1,20,110,110,110,CHARLESTON
438,0,1.08077307,2498,496,301,1,43,110,1,1,42,110,6,1,1,1,20,110,110,111,CHARLESTON
439,0,2.343120206,1697,661,89,6,42,111,1,1,42,110,6,1,1,1,20,111,111,109,CHARLESTON
440,0,0.567684497,1389,424,129,6,42,111,1,1,42,110,6,1,6,1,20,111,111,111,CHARLESTON
441,0,253.6789536,1164,377,350,1,34,108,1,7,34,96,1,1,1,1,32,108,108,103,CHARLESTON
442,0,1.012707383,2730,628,246,1,44,15,1,1,42,113,6,1,6,1,42,92,15,113,CHARLESTON
443,0,24.86093246,7708,1217,850,1,44,113,1,1,42,117,6,1,6,1,42,92,113,113,CHARLESTON
444,0,3.052393339,5042,1081,639,1,42,15,1,1,42,113,6,1,6,1,42,92,15,15,CHARLESTON
445,0,3.169484248,3280,830,350,1,44,15,1,1,42,113,6,1,6,1,42,92,15,15,CHARLESTON
446,0,0.990708834,1540,420,354,1,42,15,1,1,42,113,6,1,6,1,42,92,15,15,CHARLESTON
447,0,6.262426674,4771,1053,401,1,42,15,1,1,42,113,6,1,6,1,42,92,15,15,CHARLESTON
448,0,239.430057,1884,685,639,1,43,116,1,1,43,116,1,1,1,1,43,116,116,121,CHARLESTON
449,0,37.69430823,920,405,341,1,43,115,1,1,43,115,1,1,1,1,43,115,115,115,CHARLESTON
450,0,121.3221577,1196,484,497,1,43,115,1,1,43,115,1,1,1,1,43,115,115,115,CHARLESTON
451,0,17.55996126,1120,312,551,1,43,112,1,7,43,112,1,1,1,1,43,112,112,110,CHARLESTON
452,0,2.08957849,1524,453,698,1,43,112,1,7,43,112,1,1,1,1,43,112,112,112,CHARLESTON
453,0,86.16778046,1758,496,913,1,43,112,1,7,43,112,1,1,1,1,43,112,112,110,CHARLESTON
454,0,1.65474189,2195,658,556,1,41,115,1,1,43,115,1,1,1,1,20,115,115,115,CHARLESTON
455,0,2.169644333,2559,738,770,1,41,115,1,1,43,115,1,1,1,1,20,110,110,115,CHARLESTON
456,0,4.772735424,1661,509,615,1,41,115,1,1,41,115,1,1,1,1,43,110,110,115,CHARLESTON
457,0,3.803897075,2088,625,757,1,41,115,1,1,41,115,1,1,1,1,43,110,110,115,CHARLESTON
458,0,1.159201163,1129,322,395,1,41,115,1,1,43,115,1,1,1,1,43,110,110,115,CHARLESTON
459,0,2.129850938,2166,734,531,1,41,115,1,1,43,115,1,1,1,1,20,115,115,115,CHARLESTON
460,0,7.678969451,2355,737,624,1,41,115,1,1,41,115,1,1,1,1,20,110,110,115,CHARLESTON
461,0,1.485945554,2233,722,495,1,41,115,1,1,41,115,1,1,1,1,20,119,119,119,CHARLESTON
462,0,10.78336941,2687,994,697,1,43,115,1,1,43,115,1,1,1,1,45,115,115,115,CHARLESTON
463,0,32.10921465,1408,685,140,1,43,115,1,1,43,115,1,1,1,1,45,115,115,115,CHARLESTON
464,0,5.560705134,1976,747,472,1,41,115,1,1,41,115,1,1,1,1,20,119,119,119,CHARLESTON
465,0,2.683761644,1920,695,536,1,41,119,1,1,41,115,1,1,1,1,20,119,119,119,CHARLESTON
466,0,0.874731274,1069,613,78,1,43,115,1,1,43,115,1,1,1,1,45,119,119,115,CHARLESTON
467,0,6.66970954,1875,542,651,1,43,115,1,1,43,115,1,1,1,1,43,115,115,115,CHARLESTON
468,0,4.753745035,1108,248,416,1,43,115,1,1,43,115,1,1,1,1,43,115,115,115,CHARLESTON
469,0,2.769709285,2102,769,562,1,43,115,1,1,43,115,1,1,1,1,20,115,115,115,CHARLESTON
470,0,2.927160644,2684,899,762,1,43,115,1,1,43,115,1,1,1,1,20,115,115,115,CHARLESTON
471,0,6.002087583,1842,757,481,1,41,115,1,1,43,115,1,1,1,1,20,119,119,119,CHARLESTON
472,0,4.148676675,2568,872,599,1,41,115,1,1,43,115,1,1,1,1,20,119,119,115,CHARLESTON
473,0,1.587896352,1837,651,543,1,41,115,1,1,43,115,1,1,1,1,20,119,119,115,CHARLESTON
474,0,35.69912239,2742,612,882,1,45,116,1,1,41,116,6,1,6,1,41,116,116,119,CHARLESTON
475,0,21.39470266,3313,1040,684,1,45,116,1,1,41,116,6,1,6,1,41,116,116,119,CHARLESTON
476,0,21.06521164,7318,2092,2189,1,41,119,1,1,41,119,6,1,6,1,41,119,119,119,CHARLESTON
477,0,20.54931893,5443,1625,1841,1,41,119,1,1,41,119,6,1,1,1,41,115,115,119,CHARLESTON
478,0,49.05114235,2184,716,639,1,45,116,1,1,41,116,6,1,1,1,45,115,115,115,CHARLESTON
479,0,63.7857227,1860,538,397,1,45,119,1,1,41,119,1,1,1,1,45,115,115,115,CHARLESTON
480,0,161.4648617,2012,656,959,1,43,115,1,1,43,119,1,1,1,1,43,115,115,115,CHARLESTON
481,0,6.745254084,5160,1342,756,1,38,113,1,1,38,117,1,1,6,1,38,94,113,113,CHARLESTON
482,0,6.253996383,3471,833,570,1,38,113,1,1,38,117,1,1,6,1,38,94,113,113,CHARLESTON
483,0,548.6556228,1975,899,445,1,34,108,1,7,34,96,1,1,1,1,32,108,108,108,CHARLESTON
484,0,15.13458661,1904,611,695,1,43,110,1,7,43,110,1,1,1,1,43,110,110,110,CHARLESTON
485,0,4.688090898,1358,373,585,1,43,112,1,7,34,112,1,1,1,1,43,112,112,110,CHARLESTON
486,0,1.056801943,1903,435,585,1,43,112,1,7,34,112,1,1,1,1,43,112,112,110,CHARLESTON
487,0,2.922818068,3436,984,1002,1,43,112,1,7,34,112,1,1,1,1,44,112,112,110,CHARLESTON
488,0,2.237896123,1630,400,385,1,43,110,1,7,34,112,1,1,1,1,44,110,110,110,CHARLESTON
489,0,1.385341399,2113,483,501,1,43,110,1,7,34,112,1,1,1,1,43,110,110,110,CHARLESTON
490,0,2.844556335,2919,1029,1055,1,43,110,1,7,34,110,1,1,1,1,44,110,110,110,CHARLESTON
491,0,1.973923543,948,237,441,1,43,110,1,7,34,110,1,1,1,1,43,110,110,110,CHARLESTON
492,0,9.87203075,3786,969,1356,1,37,110,1,7,34,110,1,1,1,1,44,80,80,112,CHARLESTON
493,0,1.522255244,1528,403,631,1,43,110,1,7,34,112,1,1,1,1,44,110,110,110,CHARLESTON
494,0,1.749476188,2968,810,836,1,43,112,1,7,34,112,1,1,1,1,44,80,80,112,CHARLESTON
495,0,6.998220385,1564,420,464,1,43,110,1,7,34,110,1,1,1,1,43,110,110,110,CHARLESTON
496,0,2.306581279,1715,595,629,1,34,112,1,7,34,112,1,1,1,1,44,112,112,110,CHARLESTON
497,0,10.85386079,2194,591,755,1,34,112,1,7,43,112,1,1,1,1,43,112,112,110,CHARLESTON
498,0,20.9953595,2266,720,770,1,34,112,1,7,43,112,1,1,1,1,43,112,112,112,CHARLESTON
499,0,4.10250942,2724,817,697,1,34,112,1,7,34,112,1,1,1,1,44,112,112,112,CHARLESTON
500,0,0.695881257,1040,316,348,1,43,112,1,7,34,112,1,1,1,1,44,80,80,112,CHARLESTON
