OID_,ID,VTD,COUNTY,STATE,NAME,POPULATION,PSN,CountyName,Reg_Voters,PresBlue,PresRed,PresOther,SenBlue,SenRed,SenOther,Pct_Area,Pct_Perim,Cong2011,Sen2011,House2011,Cong2021,Sen2021,House2021,Shape_Leng,Shape_Area,SenPlan,HousePlan,HouseDrft2,CongDraft,CongRuoff,CongDrft2H,CongDrft3H
65,1604030.000000000000000,45071000034,45071,45,Peak,157,1637.000000000000000,NEWBERRY,137.000000000000000,32.000000000000000,79.000000000000000,1.000000000000000,32.000000000000000,79.000000000000000,1.000000000000000,11.137762917700000,14.733066243700000,5,18,40,3,17,42,0.146960297087000,0.001089811417400,18,40,40,3,3,3,3
66,1604048.000000000000000,45039000007,45039,45,Jenkinsville,726,886.000000000000000,FAIRFIELD,578.000000000000000,340.000000000000000,88.000000000000000,5.000000000000000,344.000000000000000,88.000000000000000,2.000000000000000,118.288054078000002,60.201237733100001,5,17,41,6,17,41,0.601072046061000,0.011577743945100,17,41,41,5,6,5,5
67,1604074.000000000000000,45071000025,45071,45,Maybinton,78,1627.000000000000000,NEWBERRY,73.000000000000000,38.000000000000000,18.000000000000000,0.000000000000000,38.000000000000000,18.000000000000000,0.000000000000000,71.391900624200005,42.957868225299997,5,18,40,3,17,42,0.426921842584000,0.007003667230640,18,40,40,3,3,3,3
68,1604094.000000000000000,45071000028,45071,45,Consolidated Number 5,1504,1620.000000000000000,NEWBERRY,1133.000000000000000,266.000000000000000,621.000000000000000,13.000000000000000,275.000000000000000,611.000000000000000,15.000000000000000,184.319766305999991,63.527786477100001,5,18,40,3,17,42,0.631400309217000,0.018061215427800,18,40,40,3,3,3,3
69,1604118.000000000000000,45087000005,45087,45,Carlisle,644,2117.000000000000000,UNION,550.000000000000000,325.000000000000000,44.000000000000000,3.000000000000000,327.000000000000000,40.000000000000000,6.000000000000000,140.770076721999999,61.667875545199998,5,18,42,5,13,42,0.603881794363000,0.013827557849500,9,42,42,5,5,5,5
70,1604136.000000000000000,45039000002,45039,45,Blairs,477,878.000000000000000,FAIRFIELD,450.000000000000000,260.000000000000000,59.000000000000000,0.000000000000000,264.000000000000000,54.000000000000000,0.000000000000000,97.007585936699996,58.817780512200002,5,17,41,6,17,41,0.582640659279000,0.009514226295280,17,41,41,5,6,5,5
71,1604156.000000000000000,45039000012,45039,45,Monticello,734,889.000000000000000,FAIRFIELD,622.000000000000000,317.000000000000000,118.000000000000000,2.000000000000000,314.000000000000000,115.000000000000000,5.000000000000000,116.871168625999999,49.441759503000000,5,17,41,6,17,41,0.493385886955000,0.011453343135300,17,41,41,5,6,5,5
72,1604177.000000000000000,45039000004,45039,45,Feasterville,345,881.000000000000000,FAIRFIELD,312.000000000000000,167.000000000000000,64.000000000000000,2.000000000000000,170.000000000000000,62.000000000000000,0.000000000000000,147.102714243000008,63.504142526199999,5,17,41,6,17,41,0.624367353262000,0.014441360481300,17,41,41,5,6,5,5
73,1604199.000000000000000,45075000140,45075,45,North 1,1789,1699.000000000000000,ORANGEBURG,1302.000000000000000,516.000000000000000,400.000000000000000,3.000000000000000,522.000000000000000,397.000000000000000,4.000000000000000,111.372708318999997,45.160908298599999,2,40,93,6,40,95,0.447126181049000,0.010820395277300,40,91,91,2,6,6,6
74,1604220.000000000000000,45063000083,45063,45,PELION 2,2508,1538.000000000000000,LEXINGTON,1674.000000000000000,223.000000000000000,823.000000000000000,11.000000000000000,229.000000000000000,807.000000000000000,26.000000000000000,84.657121817299995,46.948646854899998,2,26,96,2,25,86,0.469769624372000,0.008236876389830,40,96,96,2,2,2,2
75,1604241.000000000000000,45063000023,45063,45,MACK-EDISTO,1323,1526.000000000000000,LEXINGTON,841.000000000000000,120.000000000000000,462.000000000000000,6.000000000000000,120.000000000000000,453.000000000000000,14.000000000000000,57.320061757200001,40.404904932000001,2,26,96,2,40,86,0.409141850377000,0.005573559515100,40,86,86,2,2,2,2
76,1604259.000000000000000,45063000082,45063,45,SWANSEA 2,2666,1566.000000000000000,LEXINGTON,1694.000000000000000,375.000000000000000,656.000000000000000,6.000000000000000,378.000000000000000,630.000000000000000,26.000000000000000,61.307287623199997,32.079665308199999,2,26,96,2,40,86,0.307012124511000,0.005964380065030,26,96,96,2,2,2,2
77,1604280.000000000000000,45063000027,45063,45,SHARPE'S HILL,3806,1559.000000000000000,LEXINGTON,2179.000000000000000,328.000000000000000,887.000000000000000,15.000000000000000,359.000000000000000,827.000000000000000,40.000000000000000,35.173092601000000,30.871130171200001,2,23,96,2,40,88,0.307925276418000,0.003424251055650,23,96,96,2,2,2,2
78,1604301.000000000000000,45075000139,45075,45,North 2,1769,1700.000000000000000,ORANGEBURG,1293.000000000000000,412.000000000000000,493.000000000000000,3.000000000000000,419.000000000000000,482.000000000000000,8.000000000000000,124.373295174000006,53.092768444000001,2,40,93,6,40,95,0.516484581800000,0.012086717966000,40,91,91,2,6,6,6
